,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
11,gp:AOqpTOGgFqkR_S797HyI4leWbI3PB1keB-htCALCEncL6fg_lPe-IItENXZjItMM7sSOxqiOPw50nAv13oUhGg,prajwal gowda,https://play-lh.googleusercontent.com/a/AATXAJyiES-zkjIhIyjPcJAaERCnUKJWt04y_cPlYJVT=mo,"Could not see any updates even after reporting the problem several times. All I see is a blank screen and ""couldn't refresh feed"" status. It's been weeks still they haven't taken any measures.",1,228,214.0.0.27.120,2021-11-16 12:48:09,,
12,gp:AOqpTOF5kBMieg4s9vQoOD6rG7QZdsJb49uQ7am3gCjmjZfalX5v6h8eCD3okNfUHVFgE-NLlTnfPCyaLCfyGw,RITU MISHRA,https://play-lh.googleusercontent.com/a/AATXAJxVFvHJHIzKWFoUtAb2i8aQcKieMDYpAUzmZxuu=mo,Having very bad experience... Stories and videos keep buffering and this problem haven't resolved yet... I have unlimited data still the stories and videos are kept buffering.... Its really disgusting!!! Very much disappointed with instagram...,1,14,213.0.0.29.120,2021-11-12 12:57:47,,
13,gp:AOqpTOG8FfapD9oxigTRSfTcxoolUZyNlSHVlDIMWXtOmHV9n4xx58iM4RcqiGmtDn7CT8e5HE_SgQpsqvIPVw,vrinda jaggi,https://play-lh.googleusercontent.com/a-/AOh14GiM8ivJMnI6Q2jPCfQkvamsrGCd72vd8Mv3qE-tnA,At night I sent a message to someone and it was showing that your Message has been sent but after a few seconds when I refreshed it was showing old messages and the message I sent disappeared but today when I opened instagram the messege I sent appeared to me and the reply to the message too I don't know if this is a glitch or what please fix it I would definitely change my feedback if it is been fixed 🙁..!,2,8,213.0.0.29.120,2021-11-16 22:44:26,,
14,gp:AOqpTOF8YbqnTltajvpd8xHr-St2mMtl0yvKYLmR4ry2XsFGIt5KwNTUl1uDICzqtSH20EYowTuAYBY5-hCGug,Sucheta Baj,https://play-lh.googleusercontent.com/a/AATXAJwlpmS40JtjOJIYZIcaskzeL0y98nfztlhpFZy6=mo,"For some days , l am also having some problem in Instagram. I have uploaded the clean pictures on my story .But after the story is uploaded the photo is getting blurred. Fix this problem as soon as possible !!!",1,9,214.1.0.29.120,2021-11-27 11:58:04,,
15,gp:AOqpTOFZz8HMegVF7-swcHstU49wy80ww_LmOhZRE8iypoI-VoZ7UYazh_635xIPqu0CRsdPOymPa1iJ8qR70Q,Varun Chaudhari,https://play-lh.googleusercontent.com/a-/AOh14Gj7lWTFLiltgRFxLYZyBzsZ4IhDEgdgiqeCZgxF_Q,"What I mean to say is that even when the man is offline, it tells online even though the 10-minute I Want accurate Data show like WhatsApp shows offline as soon as the person are offline. So keep upgrade this Varuna is very disappointed with this😔",1,1,214.1.0.29.120,2021-12-02 10:15:57,,
16,gp:AOqpTOHjbbLYF3_U_WZyq3ELNHjPijxuBHeU0Qb04UficMw7hvf1hT0tTtJorx7PLzXSFDVQnCr75spiRpfxaw,Yashika Kanhere,https://play-lh.googleusercontent.com/a-/AOh14GjgLxvGr6m9aihVYaEi9sK2I9O8a3ZtAGFGh8mH,Please clear some bugs. Music is not playing in reels. Showing unavailable. Even the messeges are not getting resend..make sure each and every function should be updated.,3,0,214.1.0.29.120,2021-12-04 13:11:09,,
17,gp:AOqpTOGVjm9lTvNOy0Q_XqzMZyrI_sHe6ADKH-zhSR1keXUj1BfwgzPWQiT9qQK7v1x9eOPJNx6audiw0tXKjQ,Manish Peshwani,https://play-lh.googleusercontent.com/a-/AOh14GgUyqowQp_9HquTBKEu1puEdBIy9ZeB-bt_QaztWQ,App is definitely good but it is not upto the mark for some of the mobile phones like oneplus nord2 Pages are not loading properly ; also sometimes it goes in wierd colour changes and also the names are disappearing.... testing team can try on this for improvement.,3,4,213.0.0.29.120,2021-11-17 14:46:02,,
18,gp:AOqpTOF9AIElhFNgFgwfOgZ0Q06gTB9Epg-0-IMsFDx5TSRT5k1fU1M0sIdeg0HQSSRc9J6R3qK54TxLNq2xLw,Amit Panchal,https://play-lh.googleusercontent.com/a-/AOh14GgjIpAWqsAJkp6aQ_MHvwFy4TTFwFKL18WuT-2SRdk,Recently instagram not working well... Whenever i start chatting the theme is white than suppose i tap back one time it suddenly got black theme automatically and suddenly got half black and half white. Maybe it's bug. Solve this problem.,2,2,214.1.0.29.120,2021-11-29 05:29:42,,
19,gp:AOqpTOGKCiLiLhO_UPbX75YsvFxx2RrccyigIx7GpLJYW6X48DRf6DeYbAIRfBYvezYJDENF6EroKGXxeEcdZA,Alex Kumud,https://play-lh.googleusercontent.com/a-/AOh14Gi7M_8wBWsbk76z3FbPl5prpbYxvD6YjdusFNoX0w,"Please add multi Window (pop-up view, split screen view, etc) feature for Instagram on android phones atleast, somtimes it's really necessary to use 2 or 3 apps at once, every Meta app(except Instagram) supports multi window view.",3,2,213.0.0.29.120,2021-11-17 01:23:07,,
20,gp:AOqpTOE3TXoTRcvADFORBj0d2UiMZoIs4_OYI7TcbJK4q1DjcsCHzLkeZtK4-r_ZJv46OWGvAI5K7xU_npPYmg,Puneet Taunk,https://play-lh.googleusercontent.com/a-/AOh14GiVwfAJMiWC7lsCcXhhPuOu48sWH3Y8mURitCyT,I'm continuously reporting this people's that I'm facing an issue regarding music in story section that my music Playlist is showing empty and I'm not able to put any single song in story but this people are not even taking intrest .... finally unistalling Instagram.... you guys carry on without solving your user problems....,1,7,214.1.0.29.120,2021-11-29 19:33:09,,
