,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
11,gp:AOqpTOG9IpnQ1EWQfChI0SjqjAhl0RzNQCuKcuvZ9w_Cqvj4E4QYZDmqp05kNG-r6UEn7x3ShJhK-6fhK0Ikfw,Sheanne Trixie,https://play-lh.googleusercontent.com/a/AATXAJzE5L-leDzUJdBubYddhtZuqjOmiYZnOKXnTWGbNw=mo,"Please add the color theme in mobile too! I really love that feature and I felt that I fully customize my account with that. Other than that don't change. Even the edit button, don't add that anymore, never. It's better that way.",4,238,9.20.0-release.00,2021-11-21 10:02:49,,
12,gp:AOqpTOGPk4yIMpMHbsM7mfWunliUf8taZjm7oEFE6Y7u9zZZZHhPFO7dWhG2D99BHbhhiOayaIRNE-vruzq0lA,P G,https://play-lh.googleusercontent.com/a/AATXAJz0xxHd9UikxiQJIXsfS9DcSkZhY-9Fwz6-Bla5=mo,"It could desperately use an edit function, but it's been very solid, and I appreciate that they don't keep fooling with the design like Facebook.",5,53,9.21.0-release.0,2021-12-04 00:44:57,,
13,gp:AOqpTOFNHwtoexxtar1cj4FZMwJ5FxOgYHwk5sLP5YLDCMCEd4aLQhx8fenNWI0pm4hIPbgIBFcBt2cAYn2qVA,Juan Carlos Gutierrez,https://play-lh.googleusercontent.com/a-/AOh14Gh46cBKg6f-wRPZL70QohTVKlbJu8JU-YgAuQbcag,I don't usually do app reviews but the app studders so much when scrolling. It's annoying enough that I just scroll about 5 times and just leave the app. I keep updating the app and that studder never goes away. It's bad enough that I'm using Facebook more. Im running it on a pixel 5 on Android 12.,3,38,9.21.0-release.0,2021-12-02 10:59:53,,
14,gp:AOqpTOFt-1ZjHLFnXI31cXZJx63WDv-6lWX4uyTrpgpUOW97iAik5fCoswPPGz1Q5zErJdIeGXwWlMT2PgDcHw,Char Alfves,https://play-lh.googleusercontent.com/a-/AOh14GigLe3HjAbN79581nAW6GFzjzXxBOmweASD2Yraww,"I dont know what happened to you twitter, but my only complaint is that twitter dislikes the tweets I like, sometimes those tweets that I retweeted are deleted, I mean they are unretweeted when i saw the tweet again (tweet that I retweet), then now it's annoying because I can't even change my header in my 3rd account, it always failed to change, sometimes I can't reply too!...(just understand my English, because I'm not very good)",1,89,9.20.0-release.00,2021-11-23 14:09:19,,
15,gp:AOqpTOF1qvIcjjI1I7eWp9bRdvrzVc5DzvNnkufDQYzhfY3C2f6rnIiok1QggB_3XxgJCbgMAcVe8kCPtMV1gA,Gerald Banks,https://play-lh.googleusercontent.com/a/AATXAJykySBSMqW93sTsYaF9EEWIRCOFyiK878iAASUd=mo,Can't switch from twitter mobile to app when I click open in the twitter app I get webpage not found its really annoying when I try to click links to view in twitter app but on a good note I use twitter less now because of it to much of a Hassel to search for a story without a link to take me there.,1,16,9.21.0-release.0,2021-12-03 19:09:03,,
16,gp:AOqpTOHAkvGUc4ZTVUia2_E0gQEtC4eMBj4gdwkUd0u8BHs5DWHr_bZCRkK63958b8oBb4dx3GL-NvVXvDnviQ,Cazi Wazi,https://play-lh.googleusercontent.com/a-/AOh14GgJKm1EJlDw3YtphmjcH9Wo_Nyjjsq1-Hzov8twXw,"It currently isn't loading anyone's profile or my own tweets and when I click on a thread, it just shows a white screen. It's currently useless to use, only thing I can do is scroll through my home page.",1,1,9.21.0-release.0,2021-12-05 20:29:45,,
17,gp:AOqpTOHEueh9Jv3yicLfT7VK3dXvOfrJjqIwJGcJAQ7mKgagWJAcYfu9EbAPGLCPNajciM9_Tk-VZB56Rd9d5A,joatmon101b,https://play-lh.googleusercontent.com/a/AATXAJwiDQEYaa12XRMEkZd95A3zEJQcZmZegtpkCSe1=mo,Needs some refinement. Frequently I can see my responses to tweets without being to see the tweets themselves. It likes to start the top when I log in rather than where ever I last was. How about adding the ability to copy some text from another tweet instead of the whole Tweet.,4,24,9.20.0-release.00,2021-12-02 20:11:52,,
18,gp:AOqpTOF3m3p751S6vUH-Azw7cfyKCmSUD8XZVCmtvW7rxindEKkDsdxZ7F_1iR6l6nb5IHqfPkvRlx-oe8aaTw,Lemon Puff,https://play-lh.googleusercontent.com/a-/AOh14GiXMea6H4pxGOydmKRxtVaxW17WJswDnqgVy2jOAw,"Notifications tab now only shows so many of people's tweets. You can't scroll back seeing their tweets through out the day, only about 30mins worth. Why did you do this? Later twitter is becoming less and less functional, and more and more pushing new features instead. Massive thumbs down from me.",1,898,9.21.0-release.0,2021-12-05 07:31:02,,
19,gp:AOqpTOEPkfqiH9JtGSyvS9ETUgX_fU7FZIoWlJ9s-8CWjfisWH0lNrBAedDUogN-ZXKY3ACqD_MBc_IBeBGMig,Charlette S,https://play-lh.googleusercontent.com/a-/AOh14GgU0LyQS2laPeO692obzgfJJHzsXg4xIL2v7Air5w,This app now makes it save your reply options for threads on this device which seems like a good idea. In practice it seems to make it so you can't reply to anything because it keeps trying to make your replies use the reply options if they're toggled from everyone but you can't change them because you're replying to something and not making the first tweet in a thread.,1,95,9.20.0-release.00,2021-11-23 07:04:16,,
20,gp:AOqpTOEgztE_bvSFV9pWbXgLOJTJ-YRitqNHVeozb91s-cRS7gYWQCt0g9hthKHs-y-q5EPf5lthF_nNEsm_Bg,Princess Tubera,https://play-lh.googleusercontent.com/a-/AOh14GjiiOpqCrPGZO12tXx2cS9m8bN33lfs-348hfzm,"I don't receive any notifs from tweeter anymore. Not like before that once i open my data, all notifications will rush down. It bothered me more. I even though my phone is the problem here. I always check my phone setting but my notifications setting is all set. Thus, this app is the problem",1,139,9.20.0-release.00,2021-11-17 22:53:16,,
21,gp:AOqpTOEqcqyvBypMsDtWcQSi5KtIS7MQANZejCu7CacArECM4QbdKZJe5Lb-f1Fabc4WQGhBcgBg8gvokyMK8w,Ethan Chevallier,https://play-lh.googleusercontent.com/a/AATXAJxBnBt7Hw0WO7BViWB7fLEHL23ajjeoHJHSKg8S=mo,"Although the tweets themselves load fine, the current version of the app seems to have frequent issues when loading any form of media. Additionally, the app's emojis recently reverted back to how they look normally on the user's device (this causes numerous emojis from iOS to no longer be viewed on the app)",1,96,9.20.0-release.00,2021-11-25 05:05:34,,
22,gp:AOqpTOFXgNktK0KlaGtsKjcWSoNwvnAV2A_pQcIMsQjSwYQ_1Q81q4EI6ZN60WJ6kOmJijIVBBpw5CToDvTAJg,Nyssabelle Mugas,https://play-lh.googleusercontent.com/a-/AOh14GiEnvUUkv93h7YWqQLgF6tgfLeS4RrcIjTSDmNB7w,"I have been using this app for a long time, and it's a great app to be honest. But ever since I've updated, it seems to be slower than before. In the sense that the pictures take too long to load, and because of that, I can't enjoy using twitter anymore. I hope this gets fixed, thank you!",2,439,9.19.0-release.00,2021-11-11 15:45:19,,
23,gp:AOqpTOHqsuf1Y7kcV0Gmp7yBP7Q2ZQBM2AuHSEbpZahJsENy-mekeFdtB1oD28AJLHa0iS5dPl7MzGs2WEztpQ,Ema Reis,https://play-lh.googleusercontent.com/a-/AOh14Gh3R7BaN11GmTMXJ__7B1gRHx8l1uyAvkpdos_rdLY,I liked it when I could scroll for a long time on my new notifications tab. Fix that please. I choose to get them for a reason. I'm not glued to my phone.,1,7,9.21.0-release.0,2021-12-02 15:43:17,,
24,gp:AOqpTOF9JEMgwrA9EipnEQo9afS8SuWrL5HmzjIff47B5gYPnZAiGNoQnGBn3zxj_jPj4trODZW6k4k-SmkCxg,Pinkie Keen,https://play-lh.googleusercontent.com/a-/AOh14GgWicbAI-PBf-gd9Tnz36O52711QA7M_J2zwotPEA,"Twitter is still randomly refreshing while browsing causing me to lose my progress, and worse, making me unable to find a tweet I was about to like/view. I heard they fixed this issue but looks like it wasn't for mobile. Please fix this annoying little issue to make browsing Twitter less frustrating.",2,211,9.20.0-release.00,2021-11-18 16:40:39,,
25,gp:AOqpTOEZ2B2403U0TsfJ5rTksG2HGP3pdF3JDPop-Z0qlAH7_CuCZMdQ7BE89m9r3gPzuRODEsFjXMUfm5HU_Q,Miss Rhossel,https://play-lh.googleusercontent.com/a-/AOh14GhyqUk6Nw9ECkza30eKpCiM2yiwYKpO7HUNtNsu,"Now the reply function cannot work for me. I initially assumed it was a problem only I had but now I heard other users are having this problem too, being unable to reply to people's tweets. Please fix this. This is very much disappointing.",2,134,9.20.0-release.00,2021-11-19 02:42:46,,
26,gp:AOqpTOFhfSQVtWIyi_UM6ybm0iqjwMmQ4U5-R7jI_3NpM2TzXU9eJvluEofZjwDKR5Zw7q5qCNIE1GpoZMzzgg,Hans Solo,https://play-lh.googleusercontent.com/a-/AOh14GhrIRqBIPCOint-civORFovJ7cPaC2_m62jWyWM8A,"Often crashes after liking something, and for some reason my suggested feed has been overrun by far right nut jobs. Its become a poop show full of angry politics. To combat this they sometimes autosuspend accounts but they haven't quite got the algorithm tuned. So you may find yourself in Twitter jail for a harmless comment while watching racist homophobes use Twitter as their platform.",2,93,9.20.0-release.00,2021-11-21 22:18:53,,
